id_subitem;cd_subitem;nome
237;7;FUNDO NACIONAL DE SAUDE/FUNDO ESTADUAL DE SAUDE - COMPLEXOS REGULADORES
238;3;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO/SECRETARIA DE ESTADO DE EDUCACAO - AQUISICAO DE EQUIPAMENTOS DE MATERIAL PERMANENTE
239;0;SERVICOS DE TRANSPORTE - DIVIDA ATIVA - MULTAS E JUROS - RODOVIARIO
240;0;SERVICOS PORTUARIOS - MULTAS E JUROS
241;0;TARIFA AEROPORTUARIA - DIVIDA ATIVA
242;0;ADICIONAL SOBRE TARIFA AEROPORTUARIA - DIVIDA ATIVA
243;999;OUTRAS TRANSFERENCIAS DOS ESTADOS
244;0;TRANSFERENCIA DA COTA-PARTE DA COMPENSACAO FINANCEIRA (25%)
245;0;COTA-PARTE DA COMPENSACAO FINANCEIRA DE RECURSOS HIDRICOS - PRINCIPAL
246;0;RESTITUICAO DE BENEFICIOS PREVIDENCIARIOS
247;0;RESTITUICAO DE DESPESAS DE EXERCICIOS ANTERIORES - PRINCIPAL
248;999;RESTITUICAO DE PARCELAS DO SEGURO DESEMPREGO RECEBIDAS INDEVIDAMENTE - PRINCIPAL
249;3;TRANSFERENCIAS DE CONVENIO DA UNIAO PARA O SISTEMA UNICO DE SAUDE - SUS - PRINCIPAL
250;1;AGENCIA NACIONAL DE VIGILANCIA SANITARIA/FUNDACAO EZEQUIEL DIAS
251;0;PARCELA DA TARIFA DE EMBARQUE INTERNACIONAL - DIVIDA ATIVA - MULTAS E JUROS
252;0;SERVICOS DE ATENDIMENTO A SAUDE - PRINCIPAL - SERVICOS DE SAUDE PRESTADOS A PARTICULARES
253;2;SERVICOS DE ATENDIMENTO A SAUDE - PRINCIPAL - COPARTICIPACAO DOS SEGURADOS - SERVICOS ODONTOLOGICOS
254;0;SERVICOS DE ATENDIMENTO A SAUDE - MULTAS E JUROS - SERVICOS HOSPITALARES
