id_tipo,cd_tipo,nome
90,2,"CONTRIBUICAO PELA LICENCA DE USO, AQUISICAO OU TRANSFERENCIA DE TECNOLOGIA - CIDE - REMESSAS AO EXTERIOR - MULTAS E JUROS"
91,1,CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE-COMBUSTIVEIS - IMPORTACAO - PRINCIPAL
92,2,CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE-COMBUSTIVEIS - IMPORTACAO - MULTAS E JUROS
93,1,ROYALTIES MINIMOS PELA PRODUCAO DE PETROLEO EM PLATAFORMA - CONTRATO DE CONCESSAO - DECLARACAO DE COMERCIALIDADE ANTES DE 3/12/2012 - AREA E CAMADA PR
94,1,ROYALTIES EXCEDENTES PELA PRODUCAO DE PETROLEO EM PLATAFORMA - CONTRATO DE CONCESSAO - DECLARACAO DE COMERCIALIDADE ANTES DE 3/12/2012 - AREA E CAMADA
95,0,ROYALTIES EXCEDENTES PELA PRODUCAO DE PETROLEO EM PLATAFORMA - CONTRATO DE CONCESSAO - DECLARACAO DE COMERCIALIDADE A PARTIR DE 3/12/2012 - QUALQUER S
96,1,CONTRIBUICAO PARA FUNDOS DE ASSISTENCIA MEDICA DOS BOMBEIROS MILITARES - PRINCIPAL
97,1,CONTRIBUICAO PARA FUNDOS DE ASSISTENCIA MEDICA DE OUTROS BENEFICIARIOS - PRINCIPAL
98,4,CONTRIBUICAO PARA FUNDOS DE ASSISTENCIA MEDICA DE OUTROS BENEFICIARIOS - DIVIDA ATIVA - MULTAS E JUROS
99,0,CONTRIBUICOES SOBRE CONCURSOS DE PROGNOSTICOS E SORTEIOS
100,3,CONTRIBUICAO SOBRE A LOTERIA FEDERAL - DIVIDA ATIVA
101,1,CONTRIBUICAO SOBRE LOTERIAS ESPORTIVAS - PRINCIPAL
102,2,CONTRIBUICAO SOBRE CONCURSOS ESPECIAIS DE LOTERIAS ESPORTIVAS - MULTAS E JUROS
103,4,CONTRIBUICAO PARA O FOMENTO DA RADIODIFUSAO PUBLICA - DIVIDA ATIVA - MULTAS E JUROS
104,2,OUTRAS CONTRIBUICOES ECONOMICAS - MULTAS E JUROS
105,1,CONTRIBUICOES PARA ENTIDADES PRIVADAS DE SERVICO SOCIAL E DE FORMACAO PROFISSIONAL - PRINCIPAL
106,0,ROYALTIES PELA PRODUCAO DE PETROLEO EM TERRA - PARTILHA DE PRODUCAO - DECLARACAO DE COMERCIALIDADE A PARTIR DE 3/12/2012
107,2,CONTRIBUICAO SOBRE LOTERIA INSTANTANEA - MULTAS E JUROS
108,2,CONTRIBUICAO SOBRE CONCURSOS DE PROGNOSTICO - MODALIDADE FUTEBOL - MULTAS E JUROS
109,2,CONTRIBUICAO PARA OS PROGRAMAS DE INTEGRACAO SOCIAL E DE FORMACAO DO PATRIMONIO DO SERVIDOR PUBLICO - PIS E PASEP - MULTAS E JUROS
110,0,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA
111,0,EXPLORACAO DO PATRIMONIO IMOBILIARIO DO ESTADO
112,3,ALUGUEIS E ARRENDAMENTOS - DIVIDA ATIVA
113,4,ALUGUEIS E ARRENDAMENTOS - DIVIDA ATIVA - MULTAS E JUROS
114,3,COMPENSACAO FINANCEIRA PELA EXPLORACAO DE RECURSOS MINERAIS - DIVIDA ATIVA
115,0,OUTORGA DE DIREITOS DE USO DE RECURSOS HIDRICOS
116,1,COTA-PARTE DA CONTRIBUICAO SINDICAL - PRINCIPAL
117,2,COTA-PARTE DA CONTRIBUICAO SINDICAL - MULTAS E JUROS
118,0,CONTRIBUICAO PARA O ENSINO AEROVIARIO
119,2,UTILIZACAO DE RECURSOS HIDRICOS - DEMAIS EMPRESAS - MULTAS E JUROS
120,3,UTILIZACAO DE RECURSOS HIDRICOS - DEMAIS EMPRESAS - DIVIDA ATIVA
121,0,CONCESSAO DE FLORESTAS NACIONAIS - VALOR MINIMO
122,0,CONCESSAO DE FLORESTAS NACIONAIS - DEMAIS VALORES
123,3,ADICIONAL A CONTRIBUICAO PREVIDENCIARIA RURAL - DIVIDA ATIVA
124,0,OUTRAS CONCESSOES FLORESTAIS - VALOR MINIMO
125,0,CONTRATOS DE TRANSICAO DE CONCESSAO FLORESTAL
126,0,SUPRESSAO VEGETAL NO INTERIOR DAS FLORESTAS NACIONAIS
127,4,SUPRESSAO VEGETAL NO INTERIOR DAS FLORESTAS NACIONAIS - DIVIDA ATIVA - MULTAS E JUROS
128,0,EMOLUMENTOS E CUSTAS JUDICIAIS
129,0,OUTRAS CONTRIBUICOES SOCIAIS
130,0,REMUNERACAO DE DEPOSITOS BANCARIOS
131,0,CONTRIBUICAO DE MELHORIA PARA PAVIMENTACAO E OBRAS COMPLEMENTARES
132,0,CONTRIBUICOES SOCIAIS
133,4,DIVIDENDOS - DIVIDA ATIVA - MULTAS E JUROS
134,1,PARTICIPACOES - PRINCIPAL
135,2,OUTORGA DE DIREITO DE USO OU DE EXPLORACAO DE CRIACAO PROTEGIDA - INSTITUICAO CIENTIFICA E TECNOLOGICA - MULTAS E JUROS
136,2,DELEGACAO PARA A PRESTACAO DOS SERVICOS DE TRANSPORTE RODOVIARIO - MULTAS E JUROS
137,0,DEMAIS RECEITAS PATRIMONIAIS
138,3,DELEGACAO PARA A PRESTACAO DOS SERVICOS DE TRANSPORTE RODOVIARIO - DIVIDA ATIVA
139,1,TRANSFERENCIAS DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS - PRINCIPAL
140,1,TRANSFERENCIAS ADVINDAS DE EMENDAS PARLAMENTARES INDIVIDUAIS - PRINCIPAL
141,4,SERVICOS PORTUARIOS - DIVIDA ATIVA - MULTAS E JUROS
142,2,ADICIONAL SOBRE TARIFA AEROPORTUARIA - MULTAS E JUROS
143,1,PARCELA DA TARIFA DE EMBARQUE INTERNACIONAL - PRINCIPAL
144,0,TRANSFERENCIA DA COTA-PARTE DA COMPENSACAO FINANCEIRA (25%)
145,1,OUTRAS TRANSFERENCIAS DECORRENTES DE COMPENSACOES FINANCEIRAS - PRINCIPAL
146,1,TRANSFERENCIA DE RECURSOS DO ESTADO PARA PROGRAMAS DE SAUDE - REPASSE FUNDO A FUNDO - PRINCIPAL
147,0,RESTITUICAO DE BENEFICIOS PREVIDENCIARIOS
148,0,RESTITUICAO DE PARCELAS DO SEGURO DESEMPREGO RECEBIDAS INDEVIDAMENTE
149,0,TRANSFERENCIAS DE CONVENIO DA UNIAO PARA O SISTEMA UNICO DE SAUDE - SUS
150,4,RESTITUICAO DECORRENTE DA NAO APLICACAO DE INCENTIVOS FISCAIS RELATIVOS A LEI DO AUDIOVISUAL - DIVIDA ATIVA - MULTAS E JUROS
151,0,RESTITUICAO DECORRENTE DA APLICACAO IRREGULAR DE RECURSOS ELEITORAIS
152,3,RESTITUICAO DECORRENTE DA APLICACAO IRREGULAR DE RECURSOS ELEITORAIS - DIVIDA ATIVA
153,0,RESSARCIMENTOS
154,1,SERVICOS DE ASSISTENCIA A SAUDE SUPLEMENTAR DO SERVIDOR CIVIL - PRINCIPAL
155,3,SERVICOS DE ASSISTENCIA A SAUDE SUPLEMENTAR DO SERVIDOR CIVIL - DIVIDA ATIVA
156,2,SERVICOS DE ASSISTENCIA MEDICO-HOSPITALAR DO MILITAR - MULTAS E JUROS
157,1,TRANSFERENCIAS DE CONVENIO DOS MUNICIPIOS PARA O SISTEMA UNICO DE SAUDE - SUS - PRINCIPAL
158,0,TRANSFERENCIAS DE CONVENIO DOS MUNICIPIOS DESTINADAS A PROGRAMAS DE EDUCACAO
159,2,RESSARCIMENTO AO REGIME GERAL DE PREVIDENCIA SOCIAL - RGPS - MULTAS E JUROS
160,2,ALIENACAO DE BENS E MERCADORIAS APREENDIDOS - MULTAS E JUROS
161,3,"CONCESSAO DE AVAIS, GARANTIAS E SEGUROS - DIVIDA ATIVA"
162,2,OUTROS SERVICOS - MULTAS E JUROS
163,3,PREMIOS PRESCRITOS DE CONCURSOS DE PROGNOSTICOS - DIVIDA ATIVA
164,0,APORTES PERIODICOS PARA AMORTIZACAO DE DEFICIT ATUARIAL DO RPPS
165,0,TRANSFERENCIAS DE CONVENIOS DOS ESTADOS DESTINADAS A PROGRAMAS DE EDUCACAO
166,1,TRANSFERENCIAS DE CONVENIOS DOS ESTADOS DESTINADAS A PROGRAMAS DE INFRAESTRUTURA EM TRANSPORTE - PRINCIPAL
167,0,COTA-PARTE DO FUNDO DE PARTICIPACAO DO MUNICIPIOS - 1% COTA ENTREGUE NO MES DE DEZEMBRO
168,0,COMPENSACOES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PROPRIOS DE PREVIDENCIA DOS SERVIDORES
169,2,COMPENSACOES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PROPRIOS DE PREVIDENCIA DOS SERVIDORES - MULTAS E JUROS
170,1,COTA-PARTE DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - ESTADOS EXPORTADORES DE PRODUTOS INDUSTRIALIZADOS - PRINCIPAL
171,1,RESERVA GLOBAL DE REVERSAO - PRINCIPAL
172,0,VARIACAO CAMBIAL
173,1,OUTRAS RECEITAS - PRIMARIAS - PRINCIPAL
174,0,OUTRAS TRANSFERENCIAS DECORRENTES DE COMPENSACAO FINANCEIRA PELA EXPLORACAO DE RECURSOS NATURAIS
175,1,OUTRAS TRANSFERENCIAS DECORRENTES DE COMPENSACAO FINANCEIRA PELA EXPLORACAO DE RECURSOS NATURAIS - PRINCIPAL
176,2,OUTRAS RECEITAS - PRIMARIAS - MULTAS E JUROS
177,0,OUTRAS RECEITAS - FINANCEIRAS
178,2,OUTRAS RECEITAS - FINANCEIRAS - MULTAS E JUROS
179,0,TITULOS DA DIVIDA AGRARIA - TDA
180,1,EMPRESTIMOS COMPULSORIOS - PRINCIPAL
181,0,TRANSFERENCIAS DE CONVENIOS DOS MUNICIPIOS DESTINADAS A PROGRAMAS DE EDUCACAO
182,0,OUTRAS TRANSFERENCIAS MULTIGOVERNAMENTAIS
183,1,MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - PRINCIPAL
