id_tempo,id_unidade_orc,id_origem,id_especie,id_desdobramento_1,id_desdobramento_2,id_desdobramento_3,id_tipo,id_item,id_subitem,id_fonte,cd_fonte,cd_classificacao_rec,ano_particao,vr_efetivado
2234,3792,11,168,154,165,607,946,4268,267,73,10,1922991199000.0,2018,7901.360000000001
2234,3823,134,201,129,12,622,34,4392,49,73,10,9118021201002.0,2018,0.0
2249,3865,137,22,14,26,431,322,2976,1704,79,50,1210991102001.0,2019,17530453.78
2249,3873,137,22,52,184,542,252,2600,2343,79,50,1218023103000.0,2019,13571906.35
2249,3871,120,76,2,377,308,10,4044,395,85,52,1121041103000.0,2019,11459100.95
2249,3917,137,22,14,26,431,322,4815,2437,25,60,1210991105002.0,2019,212956.92
2249,3866,137,22,14,26,431,322,4227,2083,25,60,1210991107000.0,2019,4041685.25
2231,3774,15,2,21,374,811,586,3419,2965,25,60,2300061101000.0,2018,0.0
2231,3760,105,114,103,225,118,1164,2543,416,25,60,2990001199000.0,2018,0.0
2235,3782,10,145,173,109,606,773,3168,719,93,24,1718109111001.0,2018,670000.0
2235,3769,16,145,173,110,606,773,4351,2912,93,24,2418109120003.0,2018,0.0
2235,3800,6,191,118,91,60,1440,4806,1705,87,36,1321001101000.0,2018,78731.06
2235,3773,112,132,23,176,521,419,4080,1191,40,49,7210991101006.0,2018,66660.14
2235,3814,120,76,64,41,659,321,4986,3039,136,77,1122021401000.0,2018,399998.92
2249,3872,6,128,36,92,159,1242,2687,964,65,61,1349011101000.0,2019,917145.22
2249,3909,6,191,118,91,60,1440,4806,1705,96,70,1321001101000.0,2019,40864.81
2249,3913,6,191,118,91,60,1440,4806,1705,96,70,1321001101000.0,2019,20543.850000000002
2249,3884,120,76,64,41,659,1057,4970,3046,136,77,1122021301000.0,2019,439407.57
2249,3859,11,131,96,413,802,183,4901,694,78,82,1910011103001.0,2019,0.0
2237,3781,10,145,173,260,589,744,3664,2914,52,33,1718023101000.0,2018,1797023.6400000001
2237,3773,11,168,154,165,607,946,4268,267,40,49,1922991199000.0,2018,943.96
2237,3717,11,168,154,165,607,946,4268,267,85,52,1922991199000.0,2018,1555.8600000000001
2249,3889,6,191,118,91,60,1440,4806,1705,25,60,1321001101000.0,2019,86832.2
2249,3898,141,206,17,218,90,764,3701,2568,25,60,1610021101000.0,2019,274897.0
2236,3723,10,145,173,316,690,1288,4593,1463,29,21,1718051101000.0,2018,41444268.63
2236,3781,114,211,107,383,122,971,4075,1189,4,23,9118012303000.0,2018,-768734.38
