id_desdobramento_1,cd_desdobramento_1,nome
1,3,IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA
2,1,TAXAS PELO EXERCICIO DO PODER DE POLICIA
3,2,IMPOSTOS SOBRE O PATRIMONIO
4,0,RECEITA INTRAORCAMENTARIA - CONTRIBUICOES
5,8,DEDUCAO DAS RECEITAS - IMPOSTOS ESPECIFICOS DE ESTADOS/DF MUNICIPIOS
6,8,DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES
7,8,"DEDUCAO DAS RECEITAS - IMPOSTOS SOBRE A PRODUCAO, CIRCULACAO DE MERCADORIAS E SERVICOS"
8,0,RECEITA INTRAORCAMENTARIA - OUTROS SERVICOS
9,8,"TRANSFERENCIAS DE OUTRAS INSTITUICOES PUBLICAS - ESPECIFICAS DE ESTADOS, DF E MUNICIPIOS"
10,0,OUTRAS RECEITAS DE CAPITAL
11,1,DEDUCAO DAS RECEITAS - JUROS E CORRECOES MONETARIAS
12,9,DEDUCAO DAS RECEITAS - OUTROS VALORES MOBILIARIOS - PRINCIPAL - TITULOS DE RESPONSABILIDADE DO GOVERNO FEDERAL
13,0,DEMAIS RECEITAS PATRIMONIAIS
14,0,CONTRIBUICOES SOCIAIS
15,0,RECEITA INDUSTRIAL
16,3,DELEGACAO DOS SERVICOS DE TELECOMUNICACAO
17,0,SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS
18,2,PETROLEO - REGIME DE CESSAO ONEROSA
19,0,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA
20,0,EXPLORACAO DO PATRIMONIO IMOBILIARIO DO ESTADO
21,0,AMORTIZACAO DE EMPRESTIMOS
22,9,OUTROS IMPOSTOS
23,0,RECEITA INTRAORCAMENTARIA - CONTRIBUICOES SOCIAIS
24,3,RECEITA INTRAORCAMENTARIA - RESSARCIMENTOS
25,0,SEM DESCRICAO
26,8,RECEITA INTRAORCAMENTARIA - TRANSFERENCIAS DOS ESTADOS - ESPECIFICA E/M
27,8,TRANSFERENCIAS PROVENIENTES DE DEPOSITO NAO IDENTIFICADOS - ESPECIFICA E/DF/M
28,0,INTEGRALIZACAO DE CAPITAL SOCIAL
29,0,REMUNERACAO DAS DISPONIBILIDADES DO TESOURO
30,0,DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - PRINCIPAL - MULTA ISOLADA POR INFRACAO A OBRIGACAO ACESSORIA
31,1,DEDUCAO DAS RECEITAS - REMUNERACAO DOS RECURSOS DO REGIME PROPRIO DE PREVIDENCIA SOCIAL - RPPS
32,9,DEDUCAO DAS RECEITAS - OUTROS VALORES MOBILIARIOS
33,8,DEDUCAO DAS RECEITAS - TRANSFERENCIA FINANCEIRA DO ICMS - DESONERACAO - L.C. NO 87/96
34,1,PETROLEO - REGIME DE CONCESSAO
35,8,CONTRIBUICOES ECONOMICAS ESPECIFICAS DE ESTADOS E MUNICIPIOS
36,9,EXPLORACAO DE OUTROS RECURSOS NATURAIS
37,0,CONTRIBUICOES
38,0,EXPLORACAO DO PATRIMONIO INTANGIVEL
39,0,TRANSFERENCIAS DA UNIAO E DE SUAS ENTIDADES
40,0,"INDENIZACOES, RESTITUICOES E RESSARCIMENTOS"
41,8,"TRANSFERENCIAS DOS MUNICIPIOS - ESPECIFICAS DE ESTADOS, DF E MUNICIPIOS"
42,8,TRANSFERENCIAS DOS MUNICIPIOS E DE SUAS ENTIDADES
43,0,IMPOSTOS
44,8,DEDUCAO DAS RECEITAS - IMPOSTOS SOBRE O PATRIMONIO PARA ESTADOS/DF/MUNICIPIOS
45,8,"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - DIVIDA ATIVA - MULTAS E JUROS - COTA PARTE DO ESTADO PAR"
46,8,RECEITA INTRAORCAMENTARIA - CONTRIBUICAO
47,0,RECEITA INTRAORCAMENTARIA - SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS
48,0,"RECEITA INTRAORCAMENTARIA - INDENIZACOES, RESTITUICOES E RESSARCIMENTOS"
49,0,DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - DIVIDA ATIVA
50,0,DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - DIVIDA ATIVA - MULTA ISOLADA POR INFRACAO A OBRIGACAO ACESSORIA
51,0,SEM INFORMACAO
52,8,"CONTRIBUICOES SOCIAIS ESPECIFICAS DE ESTADOS, DF E MUNICIPIOS"
53,9,DEMAIS DELEGACOES DE SERVICOS PUBLICOS
54,3,PETROLEO - REGIME DE PARTILHA DE PRODUCAO
55,0,RECEITA PATRIMONIAL
56,0,VALORES MOBILIARIOS
57,2,DIVIDENDOS
58,0,DEMAIS RECEITAS CORRENTES
59,2,OPERACOES DE CREDITO CONTRATUAIS - MERCADO EXTERNO
60,0,ALIENACAO DE BENS
61,0,ALIENACAO DE BENS INTANGIVEIS
62,0,TRANSFERENCIAS DE CAPITAL
63,1,INDENIZACOES
64,2,TAXAS PELA PRESTACAO DE SERVICOS
65,0,RECEITAS CORRENTES
66,0,RECEITA INTRAORCAMENTARIA
67,2,RECEITA INTRAORCAMENTARIA - RESTITUICOES
68,8,DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - PRINCIPAL
69,8,DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - PRINCIPAL - COTA PARTE DO ESTADO PARA O FUNDEB
70,8,DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - MULTAS E JUROS
71,8,DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - DIVIDA ATIVA - MULTAS E JUROS - COTA PARTE DO ESTADO PARA O FUNDEB
72,8,"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - DIVIDA ATIVA - MULTAS E JUROS"
73,0,RECEITA INTRAORCAMENTARIA - RECEITA PATRIMONIAL
74,0,RECEITA INTRAORCAMENTARIA - DEMAIS RECEITAS PATRIMONIAIS
75,0,RECEITA INTRAORCAMENTARIA - RECEITA INDUSTRIAL
76,0,TRANSFERENCIAS DE INSTITUICOES PRIVADAS
77,8,"TRANSFERENCIAS DO EXTERIOR - ESPECIFICAS DE ESTADOS, DF E MUNICIPIOS"
78,0,TRANSFERENCIAS DE PESSOAS FISICAS
79,0,TRANSFERENCIAS PROVENIENTES DE DEPOSITOS NAO IDENTIFICADOS
80,0,DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA
81,9,OUTRAS OPERACOES DE CREDITO - MERCADO INTERNO
82,8,"TRANSFERENCIAS DOS ESTADOS - ESPECIFICAS DE ESTADOS, DF E MUNICIPIOS"
83,1,DEDUCAO DAS RECEITAS - REMUNERACAO DOS RECURSOS DO REGIME PROPRIO DE PREVIDENCIA SOCIAL - RPPS - PRINCIPAL - RENDA VARIAVEL
84,9,DEDUCAO DAS RECEITAS - OUTROS VALORES MOBILIARIOS - PRINCIPAL
85,8,DEDUCAO DAS RECEITAS - COTA-PARTE DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - ESTADOS EXPORTADORES DE PRODUTOS INDUSTRIALIZADOS - PRINCIPAL
86,8,DEDUCAO DAS RECEITAS - COTA-PARTE DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - ESTADOS EXPORTADORES DE PRODUTOS INDUSTRIALIZADOS - PRINCIPAL - FUNDEB
87,0,"DEDUCAO DAS RECEITAS - MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS"
88,8,"CONTRIBUICAO DE MELHORIA - ESPECIFICA DE ESTADOS, DF E MUNICIPIOS"
89,0,"DELEGACAO DE SERVICOS PUBLICOS MEDIANTE CONCESSAO, PERMISSAO, AUTORIZACAO OU LICENCA"
90,0,CESSAO DE DIREITOS
91,0,SERVICOS E ATIVIDADES REFERENTES A SAUDE
92,0,TRANSFERENCIAS DOS MUNICIPIOS E DE SUAS ENTIDADES
