id_unidade_orc;ano_exercicio;cd_unidade_orc;id_grupo_administracao;grupo_administracao;id_administracao;administracao;nome
1752;2005;4341;4;FUNDOS;4;FUNDOS;FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO MG
1753;2006;4011;4;FUNDOS;4;FUNDOS;FUNDO DE DESENVOLVIMENTO MINERO-METALURGICO
1754;2006;2061;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO JOAO PINHEIRO
1755;2006;4091;4;FUNDOS;4;FUNDOS;FUNDO PARA A INFANCIA E A ADOLESCENCIA
1756;2006;4111;4;FUNDOS;4;FUNDOS;FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONOMICO DO ESTADO DE MINAS GERAIS
1757;2006;2121;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS
1758;2006;1161;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;ESCRITORIO  DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM SAO PAULO
1759;2013;4111;4;FUNDOS;4;FUNDOS;FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONOMICO DO ESTADO DE MINAS GERAIS
1760;2013;4031;4;FUNDOS;4;FUNDOS;FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS
1761;2014;4451;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR
1762;2014;1101;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS
1763;2008;3151;5;EMPRESAS DEPENDENTES;5;EMPRESA EST. DEPENDENTES;RADIO INCONFIDENCIA LTDA.
1764;2008;2161;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO EDUCACIONAL CAIO MARTINS
1765;2008;4171;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL
1766;2008;2281;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS
1767;2008;4291;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE SAUDE
1768;2009;2351;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;UNIVERSIDADE DO ESTADO DE MINAS GERAIS
1769;2009;1915;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;TRANSFERENCIAS DO ESTADO A EMPRESAS
1770;2009;9901;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;RECEITA GERAL DO ESTADO
1771;2009;4401;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE PROMOCAO DOS DIREITOS HUMANOS
1772;2009;2411;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE TERRAS DO ESTADO DE MINAS GERAIS
1773;2002;1031;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS
1774;2002;1141;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS NO RIO DE JANEIRO
1775;2002;4251;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL
1776;2002;1421;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DA COMUNICACAO SOCIAL
1777;2002;9801;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;FOLHA DE PESSOAL CENTRALIZADA
1778;2011;2081;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO CENTRO TECNOLOGICO DE MINAS GERAIS
1779;2011;2101;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO ESTADUAL DE FLORESTAS
1780;2011;2171;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO DE ARTE DE OURO PRETO
1781;2011;2271;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS
1782;2011;2301;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS
1783;2012;2011;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS
1784;2012;2041;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;LOTERIA DO ESTADO DE MINAS GERAIS
1785;2012;2101;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO ESTADUAL DE FLORESTAS
1786;2007;4471;4;FUNDOS;4;FUNDOS;FUNDO MAQUINAS PARA O DESENVOLVIMENTO-FUNDOMAQ
1787;2007;4481;4;FUNDOS;4;FUNDOS;FUNDO DE PARCERIAS PUBLICO-PRIVADAS DO ESTADO DE MINAS GERAIS
1788;2007;2111;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO RURAL MINEIRA - RURALMINAS
1789;2007;4121;4;FUNDOS;4;FUNDOS;FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS
1790;2007;2171;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO DE ARTE DE OURO PRETO
1791;2007;1931;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;EGE SEC.REC.HUMANOS E ADMINISTRACAO-OUTROS ENCARGOS
1792;2008;1551;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;DEPARTAMENTO DE TRANSITO DE MINAS GERAIS
1793;2003;2271;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS
1794;2009;4471;4;FUNDOS;4;FUNDOS;FUNDO MAQUINAS PARA O DESENVOLVIMENTO-FUNDOMAQ
1795;2009;1531;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE ESPORTES E DA JUVENTUDE
1796;2005;2051;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;COMISSAO DE DESENVOLVIMENTO DO VALE DO JEQUITINHONHA
1797;2005;3051;5;EMPRESAS DEPENDENTES;5;EMPRESA EST. DEPENDENTES;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS
1798;2005;4101;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE HABITACAO
1799;2005;2111;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO RURAL MINEIRA - RURALMINAS
1800;2005;5111;5;EMPRESAS DEPENDENTES;5;EMPRESA EST. DEPENDENTES;EMPRESA MINEIRA DE TURISMO
1801;2005;2161;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO EDUCACIONAL CAIO MARTINS
1802;2005;2171;2;AUTARQUIAS E FUNDAÇÕES;3;FUNDACOES;FUNDACAO DE ARTE DE OURO PRETO
1803;2005;4171;4;FUNDOS;4;FUNDOS;FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL
1804;2012;1561;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;CIDADE ADMINISTRATIVA
1805;2012;1581;1;ADMINISTRACAO DIRETA;1;ADMINISTRACAO DIRETA;SECRETARIA DE ESTADO DE TRABALHO E EMPREGO
1806;2011;2401;2;AUTARQUIAS E FUNDAÇÕES;2;AUTARQUIAS;INSTITUTO DE GEOCIENCIAS APLICADAS
