id_tempo;id_unidade_orc;id_origem;id_especie;id_desdobramento_2;id_desdobramento_3;id_tipo;id_item;id_subitem;id_fonte;cd_fonte;cd_classificacao_rec;ano_particao;vr_efetivado
2248;3906;120;76;377;308;10;4961;2989;132;91;1121041104000;2019;876649.17
2251;3872;120;76;377;308;10;4951;3005;132;91;1121041105000;2019;160501.78
2255;3872;120;76;377;308;10;4960;3006;132;91;1121041107000;2019;1304050.47
2257;3906;120;76;377;308;10;4952;2983;132;91;1121041109000;2019;3118.94
2256;3871;120;76;377;308;10;4952;2983;132;91;1121041109000;2019;4652.49
2250;3859;120;44;169;113;217;2831;1547;4;23;1118021303000;2019;0.00
2252;3937;120;44;169;114;1507;5019;3183;50;71;1118022201000;2019;1595909.94
2256;3937;120;44;169;114;1508;5021;3188;50;71;1118022301000;2019;74351.27
2249;3865;141;206;343;639;1005;2634;908;25;60;1610011120000;2019;17673.00
2255;3854;141;206;343;639;1005;2635;2378;25;60;1610011124000;2019;37062.00
2246;3937;141;206;343;639;1005;2635;2378;25;60;1610011124000;2019;0.00
2254;3835;141;206;343;639;1005;2612;122;25;60;1610011127000;2019;25476.00
2255;3911;141;206;343;639;1005;4451;1266;25;60;1610011128000;2019;2053.21
2254;3911;141;206;343;639;1005;4451;1266;25;60;1610011128000;2019;1077.96
2257;3927;141;206;343;639;1005;4739;1267;25;60;1610011129000;2019;1855.60
2256;3910;141;206;343;639;1005;4453;2731;25;60;1610011199001;2019;38.18
2253;3871;141;206;343;639;1005;4453;2731;25;60;1610011199001;2019;54.51
2253;3868;141;206;343;639;1005;4453;2731;25;60;1610011199001;2019;3.25
2248;3865;141;206;343;639;1005;4453;2731;25;60;1610011199001;2019;8288.66
2247;3937;141;206;343;639;1005;4453;2731;73;10;1610011199001;2019;1295.00
2246;3937;141;206;343;639;1005;4453;2731;73;10;1610011199001;2019;1168.75
2251;3937;120;76;377;308;396;4045;14;8;72;1121041402000;2019;2620.00
2257;3911;120;76;111;205;1141;3735;1528;132;91;1122011101006;2019;30392.82
2256;3937;120;76;111;205;1141;3735;3126;133;29;1122011101011;2019;2381954.79
2253;3937;120;76;111;205;1141;3735;1153;73;10;1122011101999;2019;3399.24
2255;3937;120;76;111;205;1327;4661;1531;133;29;1122011201002;2019;151767.88
2257;3937;120;76;111;205;1327;4661;1889;73;10;1122011201999;2019;292.30
2246;3937;120;76;111;205;1140;2953;2051;73;10;1122011301999;2019;296.68
2252;3937;6;207;394;553;491;3256;2781;73;10;1310011101001;2019;136916.10
