id_tempo,mes,ano,anomes_formatado
1009,11,2022,11/2022
1010,12,2022,12/2022
1011,0,2023,00/2023
1012,14,2023,14/2023
1013,13,2023,13/2023
1014,1,2023,01/2023
1015,2,2023,02/2023
1016,3,2023,03/2023
1017,4,2023,04/2023
1018,5,2023,05/2023
1019,6,2023,06/2023
1020,7,2023,07/2023
1021,8,2023,08/2023
1022,9,2023,09/2023
1023,10,2023,10/2023
1024,11,2023,11/2023
1025,12,2023,12/2023
1026,0,2024,00/2024
1027,14,2024,14/2024
1028,13,2024,13/2024
1029,1,2024,01/2024
1030,2,2024,02/2024
1031,3,2024,03/2024
1032,4,2024,04/2024
1033,5,2024,05/2024
1034,3,2046,03/2046
1035,4,2046,04/2046
1036,5,2046,05/2046
1037,6,2046,06/2046
1038,7,2046,07/2046
1039,8,2046,08/2046
1040,9,2046,09/2046
1041,0,2047,00/2047
1042,10,2046,10/2046
1043,11,2046,11/2046
1044,12,2046,12/2046
1045,14,2047,14/2047
1046,13,2047,13/2047
1047,1,2047,01/2047
1048,2,2047,02/2047
1049,3,2047,03/2047
1050,4,2047,04/2047
1051,5,2047,05/2047
1052,6,2047,06/2047
1053,7,2047,07/2047
1054,8,2047,08/2047
1055,9,2047,09/2047
1056,10,2047,10/2047
1057,11,2047,11/2047
1058,12,2047,12/2047
1059,0,2048,00/2048
1060,14,2048,14/2048
1061,13,2048,13/2048
1062,1,2048,01/2048
1063,2,2048,02/2048
1064,3,2048,03/2048
1065,4,2048,04/2048
1066,5,2048,05/2048
1067,6,2048,06/2048
1068,7,2048,07/2048
1069,8,2048,08/2048
1070,9,2048,09/2048
1071,10,2048,10/2048
1072,11,2048,11/2048
1073,12,2048,12/2048
1074,0,2049,00/2049
1075,14,2049,14/2049
1076,13,2049,13/2049
1077,1,2049,01/2049
1078,2,2049,02/2049
1079,3,2049,03/2049
1080,4,2049,04/2049
1081,5,2049,05/2049
1082,6,2049,06/2049
1083,7,2049,07/2049
1084,8,2049,08/2049
1085,9,2049,09/2049
1086,10,2049,10/2049
1087,11,2049,11/2049
1088,12,2049,12/2049
1089,0,2050,00/2050
1090,14,2050,14/2050
1091,13,2050,13/2050
1092,1,2050,01/2050
1093,2,2050,02/2050
1094,3,2050,03/2050
1095,4,2050,04/2050
1096,5,2050,05/2050
1097,6,2050,06/2050
1098,7,2050,07/2050
1099,8,2050,08/2050
1100,9,2050,09/2050
1101,10,2050,10/2050
1102,11,2050,11/2050
1103,12,2050,12/2050
1104,5,1934,05/1934
1105,0,1935,00/1935
1106,6,1934,06/1934
1107,7,1934,07/1934
1108,8,1934,08/1934
1109,9,1934,09/1934
1110,10,1934,10/1934
1111,11,1934,11/1934
1112,12,1934,12/1934
1113,14,1935,14/1935
1114,13,1935,13/1935
1115,1,1935,01/1935
1116,2,1935,02/1935
1117,3,1935,03/1935
1118,4,1935,04/1935
1119,5,1935,05/1935
1120,6,1935,06/1935
1121,7,1935,07/1935
1122,8,1935,08/1935
1123,9,1935,09/1935
1124,10,1935,10/1935
1125,11,1935,11/1935
1126,12,1935,12/1935
1127,0,1936,00/1936
1128,14,1936,14/1936
1129,13,1936,13/1936
1130,1,1936,01/1936
1131,2,1936,02/1936
1132,3,1936,03/1936
1133,4,1936,04/1936
1134,5,1936,05/1936
1135,6,1936,06/1936
1136,7,1936,07/1936
1137,8,1936,08/1936
1138,9,1936,09/1936
1139,10,1936,10/1936
1140,11,1936,11/1936
1141,12,1936,12/1936
1142,0,1937,00/1937
1143,14,1937,14/1937
1144,13,1937,13/1937
1145,1,1937,01/1937
1146,2,1937,02/1937
1147,3,1937,03/1937
1148,4,1937,04/1937
1149,5,1937,05/1937
1150,6,1937,06/1937
1151,7,1937,07/1937
1152,8,1937,08/1937
1153,9,1937,09/1937
1154,10,1937,10/1937
1155,11,1937,11/1937
1156,12,1937,12/1937
1157,0,1938,00/1938
1158,14,1938,14/1938
1159,13,1938,13/1938
1160,1,1938,01/1938
1161,2,1938,02/1938
1162,3,1938,03/1938
1163,6,2024,06/2024
1164,7,2024,07/2024
1165,8,2024,08/2024
1166,9,2024,09/2024
1167,10,2024,10/2024
1168,11,2024,11/2024
1169,12,2024,12/2024
1170,0,2025,00/2025
1171,14,2025,14/2025
1172,13,2025,13/2025
1173,1,2025,01/2025
1174,2,2025,02/2025
1175,3,2025,03/2025
1176,4,2025,04/2025
1177,5,2025,05/2025
1178,6,2025,06/2025
1179,7,2025,07/2025
1180,8,2025,08/2025
1181,9,2025,09/2025
1182,10,2025,10/2025
1183,11,2025,11/2025
1184,12,2025,12/2025
1185,0,2026,00/2026
1186,14,2026,14/2026
1187,13,2026,13/2026
1188,1,2026,01/2026
1189,2,2026,02/2026
1190,3,2026,03/2026
1191,4,2026,04/2026
1192,5,2026,05/2026
1193,6,2026,06/2026
1194,7,2026,07/2026
1195,8,2026,08/2026
1196,9,2026,09/2026
1197,10,2026,10/2026
1198,11,2026,11/2026
1199,12,2026,12/2026
1200,0,2027,00/2027
1201,14,2027,14/2027
1202,13,2027,13/2027
1203,1,2027,01/2027
1204,2,2027,02/2027
1205,3,2027,03/2027
1206,4,2027,04/2027
1207,5,2027,05/2027
1208,6,2027,06/2027
1209,7,2027,07/2027
1210,8,2027,08/2027
1211,9,2027,09/2027
1212,10,2027,10/2027
1213,11,2027,11/2027
1214,12,2027,12/2027
1215,0,2028,00/2028
1216,14,2028,14/2028
1217,13,2028,13/2028
1218,1,2028,01/2028
1219,2,2028,02/2028
1220,3,2028,03/2028
1221,4,2028,04/2028
1222,5,2028,05/2028
1223,6,2028,06/2028
1224,7,2028,07/2028
1225,8,2028,08/2028
1226,9,2028,09/2028
1227,10,2028,10/2028
1228,11,2028,11/2028
1229,12,2028,12/2028
1230,0,2029,00/2029
1231,14,2029,14/2029
1232,0,1900,00/1900
1233,14,1900,14/1900
1234,8,1955,08/1955
1235,9,1955,09/1955
1236,10,1955,10/1955
1237,11,1955,11/1955
1238,12,1955,12/1955
1239,0,1956,00/1956
1240,14,1956,14/1956
1241,13,1956,13/1956
1242,1,1956,01/1956
1243,2,1956,02/1956
1244,3,1956,03/1956
1245,4,1956,04/1956
1246,5,1956,05/1956
1247,6,1956,06/1956
1248,7,1956,07/1956
1249,8,1956,08/1956
1250,9,1956,09/1956
1251,10,1956,10/1956
1252,11,1956,11/1956
1253,12,1956,12/1956
1254,0,1957,00/1957
1255,14,1957,14/1957
1256,13,1957,13/1957
1257,1,1957,01/1957
1258,2,1957,02/1957
1259,3,1957,03/1957
1,0,1918,00/1918
2,2,1917,02/1917
3,3,1917,03/1917
4,4,1917,04/1917
5,5,1917,05/1917
6,6,1917,06/1917
7,7,1917,07/1917
8,8,1917,08/1917
9,9,1917,09/1917
10,10,1917,10/1917
11,11,1917,11/1917
12,12,1917,12/1917
13,14,1918,14/1918
14,13,1918,13/1918
15,1,1918,01/1918
16,2,1918,02/1918
17,3,1918,03/1918
18,4,1918,04/1918
19,5,1918,05/1918
20,6,1918,06/1918
21,7,1918,07/1918
22,8,1918,08/1918
23,9,1918,09/1918
24,10,1918,10/1918
25,11,1918,11/1918
26,12,1918,12/1918
27,0,1919,00/1919
28,14,1919,14/1919
29,13,1919,13/1919
30,1,1919,01/1919
31,2,1919,02/1919
32,3,1919,03/1919
33,4,1919,04/1919
34,5,1919,05/1919
35,6,1919,06/1919
36,7,1919,07/1919
37,8,1919,08/1919
38,9,1919,09/1919
39,10,1919,10/1919
40,11,1919,11/1919
41,12,1919,12/1919
42,0,1920,00/1920
43,14,1920,14/1920
44,13,1920,13/1920
45,1,1920,01/1920
46,2,1920,02/1920
47,3,1920,03/1920
48,4,1920,04/1920
49,5,1920,05/1920
50,6,1920,06/1920
51,7,1920,07/1920
52,8,1920,08/1920
53,9,1920,09/1920
54,10,1920,10/1920
55,11,1920,11/1920
56,12,1920,12/1920
57,0,1921,00/1921
58,14,1921,14/1921
59,13,1921,13/1921
60,1,1921,01/1921
61,2,1921,02/1921
62,3,1921,03/1921
63,4,1921,04/1921
64,5,1921,05/1921
65,6,1921,06/1921
66,7,1921,07/1921
67,8,1921,08/1921
68,9,1921,09/1921
69,10,1921,10/1921
70,11,1921,11/1921
71,12,1921,12/1921
72,0,1922,00/1922
73,14,1922,14/1922
74,13,1922,13/1922
75,1,1922,01/1922
76,2,1922,02/1922
77,3,1922,03/1922
78,4,1922,04/1922
79,5,1922,05/1922
80,6,1922,06/1922
81,7,1922,07/1922
82,8,1922,08/1922
83,9,1922,09/1922
84,10,1922,10/1922
85,11,1922,11/1922
86,12,1922,12/1922
87,0,1923,00/1923
88,14,1923,14/1923
89,13,1923,13/1923
90,1,1923,01/1923
91,2,1923,02/1923
92,3,1923,03/1923
93,4,1923,04/1923
94,5,1923,05/1923
95,6,1923,06/1923
96,7,1923,07/1923
97,8,1923,08/1923
98,9,1923,09/1923
99,10,1923,10/1923
100,11,1923,11/1923
101,12,1923,12/1923
102,0,1924,00/1924
103,14,1924,14/1924
104,13,1924,13/1924
105,1,1924,01/1924
106,2,1924,02/1924
107,3,1924,03/1924
108,4,1924,04/1924
109,5,1924,05/1924
110,6,1924,06/1924
111,7,1924,07/1924
112,8,1924,08/1924
113,9,1924,09/1924
114,10,1924,10/1924
115,11,1924,11/1924
116,12,1924,12/1924
117,0,1925,00/1925
118,14,1925,14/1925
119,13,1925,13/1925
120,1,1925,01/1925
121,2,1925,02/1925
122,3,1925,03/1925
123,4,1925,04/1925
124,5,1925,05/1925
125,6,1925,06/1925
126,7,1925,07/1925
127,8,1925,08/1925
128,9,1925,09/1925
129,10,1925,10/1925
130,13,1990,13/1990
131,1,1990,01/1990
132,2,1990,02/1990
133,3,1990,03/1990
134,4,1990,04/1990
135,5,1990,05/1990
136,6,1990,06/1990
137,7,1990,07/1990
138,8,1990,08/1990
139,9,1990,09/1990
140,10,1990,10/1990
141,11,1990,11/1990
142,12,1990,12/1990
143,0,1991,00/1991
144,14,1991,14/1991
145,13,1991,13/1991
146,1,1991,01/1991
147,2,1991,02/1991
148,3,1991,03/1991
149,4,1991,04/1991
150,5,1991,05/1991
151,6,1991,06/1991
152,7,1991,07/1991
153,8,1991,08/1991
154,9,1991,09/1991
155,10,1991,10/1991
156,11,1991,11/1991
157,12,1991,12/1991
158,0,1992,00/1992
159,14,1992,14/1992
160,13,1992,13/1992
161,1,1992,01/1992
162,2,1992,02/1992
163,3,1992,03/1992
164,4,1992,04/1992
165,5,1992,05/1992
166,6,1992,06/1992
167,7,1992,07/1992
168,8,1992,08/1992
169,9,1992,09/1992
170,10,1992,10/1992
171,11,1992,11/1992
172,12,1992,12/1992
173,0,1993,00/1993
174,14,1993,14/1993
175,13,1993,13/1993
176,1,1993,01/1993
177,2,1993,02/1993
178,3,1993,03/1993
179,4,1993,04/1993
180,5,1993,05/1993
181,6,1993,06/1993
182,7,1993,07/1993
183,8,1993,08/1993
184,9,1993,09/1993
185,10,1993,10/1993
186,11,1993,11/1993
187,12,1993,12/1993
188,0,1994,00/1994
189,14,1994,14/1994
190,13,1994,13/1994
191,1,1994,01/1994
192,2,1994,02/1994
193,3,1994,03/1994
194,4,1994,04/1994
195,5,1994,05/1994
196,6,1994,06/1994
197,7,1994,07/1994
198,8,1994,08/1994
199,5,1981,05/1981
200,6,1981,06/1981
201,7,1981,07/1981
202,8,1981,08/1981
203,9,1981,09/1981
204,10,1981,10/1981
205,11,1981,11/1981
206,12,1981,12/1981
207,0,1982,00/1982
208,14,1982,14/1982
209,13,1982,13/1982
210,1,1982,01/1982
211,2,1982,02/1982
212,3,1982,03/1982
213,4,1982,04/1982
214,5,1982,05/1982
215,6,1982,06/1982
216,7,1982,07/1982
217,8,1982,08/1982
218,9,1982,09/1982
219,10,1982,10/1982
220,11,1982,11/1982
221,12,1982,12/1982
222,0,1983,00/1983
223,14,1983,14/1983
224,13,1983,13/1983
225,1,1983,01/1983
226,2,1983,02/1983
227,3,1983,03/1983
228,4,1983,04/1983
229,5,1983,05/1983
230,6,1983,06/1983
231,7,1983,07/1983
232,8,1983,08/1983
233,9,1983,09/1983
234,10,1983,10/1983
235,11,1983,11/1983
236,12,1983,12/1983
237,0,1984,00/1984
238,14,1984,14/1984
239,13,1984,13/1984
240,1,1984,01/1984
241,2,1984,02/1984
242,3,1984,03/1984
243,4,1984,04/1984
244,5,1984,05/1984
245,6,1984,06/1984
246,7,1984,07/1984
247,8,1984,08/1984
248,9,1984,09/1984
249,10,1984,10/1984
250,11,1984,11/1984
251,12,1984,12/1984
252,0,1985,00/1985
253,14,1985,14/1985
254,13,1985,13/1985
255,1,1985,01/1985
256,2,1985,02/1985
257,3,1985,03/1985
258,4,1985,04/1985
259,5,1985,05/1985
260,6,1985,06/1985
261,7,1985,07/1985
262,8,1985,08/1985
263,9,1985,09/1985
264,10,1985,10/1985
265,11,1985,11/1985
266,12,1985,12/1985
267,0,1986,00/1986
268,14,1986,14/1986
269,13,1986,13/1986
270,1,1986,01/1986
271,2,1986,02/1986
272,14,1987,14/1987
273,3,1986,03/1986
274,4,1986,04/1986
275,5,1986,05/1986
276,6,1986,06/1986
277,7,1986,07/1986
278,8,1986,08/1986
279,9,1986,09/1986
280,10,1986,10/1986
281,11,1986,11/1986
282,12,1986,12/1986
283,0,1987,00/1987
284,13,1987,13/1987
285,1,1987,01/1987
286,2,1987,02/1987
287,3,1987,03/1987
288,4,1987,04/1987
289,5,1987,05/1987
290,6,1987,06/1987
291,7,1987,07/1987
292,8,1987,08/1987
293,9,1987,09/1987
294,10,1987,10/1987
295,11,1987,11/1987
296,12,1987,12/1987
297,0,1988,00/1988
298,14,1988,14/1988
299,13,1988,13/1988
300,1,1988,01/1988
301,2,1988,02/1988
302,3,1988,03/1988
303,4,1988,04/1988
304,5,1988,05/1988
305,6,1988,06/1988
306,7,1988,07/1988
307,8,1988,08/1988
308,9,1988,09/1988
309,10,1988,10/1988
310,11,1988,11/1988
311,12,1988,12/1988
312,0,1989,00/1989
313,14,1989,14/1989
314,13,1989,13/1989
315,1,1989,01/1989
316,2,1989,02/1989
317,3,1989,03/1989
318,4,1989,04/1989
319,5,1989,05/1989
320,6,1989,06/1989
321,7,1989,07/1989
322,8,1989,08/1989
323,9,1989,09/1989
324,10,1989,10/1989
325,11,1989,11/1989
326,12,1989,12/1989
327,0,1990,00/1990
328,14,1990,14/1990
329,8,1908,08/1908
330,9,1908,09/1908
331,10,1908,10/1908
332,11,1908,11/1908
333,12,1908,12/1908
334,0,1909,00/1909
335,14,1909,14/1909
