id_unidade_orc,sqa_unidade_orcam,ano_exercicio,cd_unidade_orc,id_grupo_administracao,grupo_administracao,id_administracao,administracao,nome
1962,1819.0,2014,4331,4,FUNDOS,4,FUNDOS,FUNDO DE DESENVOLVIMENTO METROPOLITANO
1963,1856.0,2015,1011,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS
1964,1878.0,2015,1301,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO  DE TRANSPORTES  E OBRAS PUBLICAS
1965,1885.0,2015,1441,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS
1966,1997.0,2015,4601,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DOS DIREITOS DO IDOSO
1967,1998.0,2015,9999,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,EMG - ADMINISTRACAO DIRETA
1968,1890.0,2015,4481,4,FUNDOS,4,FUNDOS,FUNDO DE PARCERIAS PUBLICO-PRIVADAS DO ESTADO DE MINAS GERAIS
1969,1891.0,2015,4521,4,FUNDOS,4,FUNDOS,FUNDO DE UNIVERSALIZACAO DO ACESSO A SERVICOS DE TELECOMUNICACAO EM MINAS GERAIS
1970,1898.0,2015,1481,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL
1971,1905.0,2015,1501,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO
1972,1917.0,2015,1911,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,EGE SEC.FAZENDA-ENCARGOS DIVERSOS
1973,1933.0,2015,4541,4,FUNDOS,4,FUNDOS,FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS
1974,1941.0,2015,2241,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO MINEIRO DE GESTAO DAS AGUAS
1975,1945.0,2015,2281,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS
1976,1964.0,2015,3051,5,EMPRESAS DEPENDENTES,5,EMPRESA EST. DEPENDENTES,EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS
1977,1965.0,2015,3151,5,EMPRESAS DEPENDENTES,5,EMPRESA EST. DEPENDENTES,RADIO INCONFIDENCIA LTDA.
1978,1981.0,2015,4041,4,FUNDOS,4,FUNDOS,FUNDO DE DESENVOLVIMENTO REGIONAL DO JAIBA
1979,1983.0,2015,4111,4,FUNDOS,4,FUNDOS,FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONOMICO DO ESTADO DE MINAS GERAIS
1980,521.0,2005,2301,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS
1981,476.0,2005,4141,4,FUNDOS,4,FUNDOS,FUNDO PENITENCIARIO ESTADUAL
1982,594.0,2006,4061,4,FUNDOS,4,FUNDOS,FUNDO PRO-FLORESTA
1983,595.0,2006,1071,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS
1984,596.0,2006,2071,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS
1985,602.0,2006,2091,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO ESTADUAL DO MEIO AMBIENTE
1986,605.0,2006,2101,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,INSTITUTO ESTADUAL DE FLORESTAS
1987,606.0,2006,4101,4,FUNDOS,4,FUNDOS,FUNDO ESTADUAL DE HABITACAO
1988,614.0,2006,1141,1,ADMINISTRACAO DIRETA,1,ADMINISTRACAO DIRETA,ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS NO RIO DE JANEIRO
1989,1669.0,2013,2441,2,AUTARQUIAS E FUNDAC?ES,2,AUTARQUIAS,AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA
1990,871.0,2008,2111,2,AUTARQUIAS E FUNDAC?ES,3,FUNDACOES,FUNDACAO RURAL MINEIRA - RURALMINAS
